target_name,category,target_query,uniprot_id,full_ncbi_query,retmax,ncbi_hits_reported,hit_count_capped_at_retmax,patent_intermediate_rows,final_master_rows,unique_patents_final,unique_accessions_final,manual_ncbi_url,google_patents_query,google_patents_url,uspto_manual_query,manual_validation_status
TSLP,Cytokine,anti-TSLP OR tezepelumab,Q969D9,"(anti-TSLP OR tezepelumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,163,no,65,41,3,41,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-TSLP+OR+tezepelumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-TSLP OR tezepelumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-TSLP+OR+tezepelumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""TSLP"" antibody variable region",not_started
IgE,Cytokine,anti-IgE OR omalizumab OR ligelizumab,P01854,"(anti-IgE OR omalizumab OR ligelizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,43,no,20,10,3,10,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IgE+OR+omalizumab+OR+ligelizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IgE OR omalizumab OR ligelizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IgE+OR+omalizumab+OR+ligelizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IgE"" antibody variable region",not_started
VEGF,Soluble,anti-VEGF OR anti-VEGFA OR bevacizumab OR ranibizumab OR brolucizumab,P15692,"(anti-VEGF OR anti-VEGFA OR bevacizumab OR ranibizumab OR brolucizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,116,65,9,65,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-VEGF+OR+anti-VEGFA+OR+bevacizumab+OR+ranibizumab+OR+brolucizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-VEGF OR anti-VEGFA OR bevacizumab OR ranibizumab OR brolucizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-VEGF+OR+anti-VEGFA+OR+bevacizumab+OR+ranibizumab+OR+brolucizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""VEGF"" antibody variable region",not_started
VEGFR2,Soluble,anti-VEGFR2 OR anti-KDR OR ramucirumab,P35968,"(anti-VEGFR2 OR anti-KDR OR ramucirumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,9,no,4,4,2,4,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-VEGFR2+OR+anti-KDR+OR+ramucirumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-VEGFR2 OR anti-KDR OR ramucirumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-VEGFR2+OR+anti-KDR+OR+ramucirumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""VEGFR2"" antibody variable region",not_started
NGF,Soluble,anti-NGF OR tanezumab OR fasinumab OR fulranumab,P01138,"(anti-NGF OR tanezumab OR fasinumab OR fulranumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,85,77,3,77,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-NGF+OR+tanezumab+OR+fasinumab+OR+fulranumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-NGF OR tanezumab OR fasinumab OR fulranumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-NGF+OR+tanezumab+OR+fasinumab+OR+fulranumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""NGF"" antibody variable region",not_started
CGRP,Soluble,anti-CGRP OR fremanezumab OR galcanezumab OR eptinezumab,P06881,"(anti-CGRP OR fremanezumab OR galcanezumab OR eptinezumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,62,41,2,41,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CGRP+OR+fremanezumab+OR+galcanezumab+OR+eptinezumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CGRP OR fremanezumab OR galcanezumab OR eptinezumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CGRP+OR+fremanezumab+OR+galcanezumab+OR+eptinezumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CGRP"" antibody variable region",not_started
CGRPr,Soluble,anti-CGRP receptor OR erenumab OR anti-CALCRL,Q16602,"(anti-CGRP receptor OR erenumab OR anti-CALCRL) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,7,no,2,2,1,2,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-CGRP+receptor+OR+erenumab+OR+anti-CALCRL%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-CGRP receptor OR erenumab OR anti-CALCRL) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-CGRP+receptor+OR+erenumab+OR+anti-CALCRL%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CGRPr"" antibody variable region",not_started
PCSK9,Soluble,anti-PCSK9 OR alirocumab OR evolocumab,Q8NBP7,"(anti-PCSK9 OR alirocumab OR evolocumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,61,61,4,61,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-PCSK9+OR+alirocumab+OR+evolocumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-PCSK9 OR alirocumab OR evolocumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-PCSK9+OR+alirocumab+OR+evolocumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""PCSK9"" antibody variable region",not_started
C5,Soluble,anti-C5 OR eculizumab OR ravulizumab,P01031,"(anti-C5 OR eculizumab OR ravulizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,183,no,77,33,4,33,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-C5+OR+eculizumab+OR+ravulizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-C5 OR eculizumab OR ravulizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-C5+OR+eculizumab+OR+ravulizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""C5"" antibody variable region",not_started
RANKL,Soluble,anti-RANKL OR anti-TNFSF11 OR denosumab,O14788,"(anti-RANKL OR anti-TNFSF11 OR denosumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,7,no,2,2,1,2,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-RANKL+OR+anti-TNFSF11+OR+denosumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-RANKL OR anti-TNFSF11 OR denosumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-RANKL+OR+anti-TNFSF11+OR+denosumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""RANKL"" antibody variable region",not_started
Ang2,Soluble,anti-angiopoietin-2 OR anti-ANGPT2 OR faricimab,O15123,"(anti-angiopoietin-2 OR anti-ANGPT2 OR faricimab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,51,no,46,22,2,22,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-angiopoietin-2+OR+anti-ANGPT2+OR+faricimab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-angiopoietin-2 OR anti-ANGPT2 OR faricimab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-angiopoietin-2+OR+anti-ANGPT2+OR+faricimab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""Ang2"" antibody variable region",not_started
BAFF,Soluble,anti-BAFF OR anti-TNFSF13B OR belimumab,Q9Y275,"(anti-BAFF OR anti-TNFSF13B OR belimumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,7,no,2,2,1,2,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-BAFF+OR+anti-TNFSF13B+OR+belimumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-BAFF OR anti-TNFSF13B OR belimumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-BAFF+OR+anti-TNFSF13B+OR+belimumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""BAFF"" antibody variable region",not_started
RSV F,Infectious,anti-RSV OR anti-respiratory syncytial virus OR palivizumab OR nirsevimab,P03420,"(anti-RSV OR anti-respiratory syncytial virus OR palivizumab OR nirsevimab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,51,51,2,51,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-RSV+OR+anti-respiratory+syncytial+virus+OR+palivizumab+OR+nirsevimab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-RSV OR anti-respiratory syncytial virus OR palivizumab OR nirsevimab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-RSV+OR+anti-respiratory+syncytial+virus+OR+palivizumab+OR+nirsevimab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""RSV F"" antibody variable region",not_started
SARS-CoV-2 Spike,Infectious,anti-SARS-CoV-2 OR anti-spike protein OR bebtelovimab OR sotrovimab OR tixagevimab,P0DTC2,"(anti-SARS-CoV-2 OR anti-spike protein OR bebtelovimab OR sotrovimab OR tixagevimab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,14,no,8,7,1,7,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-SARS-CoV-2+OR+anti-spike+protein+OR+bebtelovimab+OR+sotrovimab+OR+tixagevimab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-SARS-CoV-2 OR anti-spike protein OR bebtelovimab OR sotrovimab OR tixagevimab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-SARS-CoV-2+OR+anti-spike+protein+OR+bebtelovimab+OR+sotrovimab+OR+tixagevimab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""SARS-CoV-2 Spike"" antibody variable region",not_started
Influenza HA,Infectious,anti-influenza hemagglutinin antibody OR anti-HA broadly neutralizing,P03437,"(anti-influenza hemagglutinin antibody OR anti-HA broadly neutralizing) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,25,no,25,25,1,25,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-influenza+hemagglutinin+antibody+OR+anti-HA+broadly+neutralizing%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-influenza hemagglutinin antibody OR anti-HA broadly neutralizing) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-influenza+hemagglutinin+antibody+OR+anti-HA+broadly+neutralizing%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""Influenza HA"" antibody variable region",not_started
HIV gp120,Infectious,anti-HIV gp120 OR anti-HIV envelope OR ibalizumab,P04578,"(anti-HIV gp120 OR anti-HIV envelope OR ibalizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,7,no,2,2,1,2,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-HIV+gp120+OR+anti-HIV+envelope+OR+ibalizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-HIV gp120 OR anti-HIV envelope OR ibalizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-HIV+gp120+OR+anti-HIV+envelope+OR+ibalizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""HIV gp120"" antibody variable region",not_started
Ebola GP,Infectious,anti-Ebola glycoprotein OR mAb114 OR atoltivimab OR inmazeb,Q05320,"(anti-Ebola glycoprotein OR mAb114 OR atoltivimab OR inmazeb) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,7,no,2,2,1,2,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-Ebola+glycoprotein+OR+mAb114+OR+atoltivimab+OR+inmazeb%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-Ebola glycoprotein OR mAb114 OR atoltivimab OR inmazeb) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-Ebola+glycoprotein+OR+mAb114+OR+atoltivimab+OR+inmazeb%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""Ebola GP"" antibody variable region",not_started
